0000000100000011	01011 [x]
0000010110000100	01000 [x]
0100000000011011	10011 [x]
0100100000001101	01101 [x]
0101000000001101	01101 [x]
0000110011000001	00010 [x]
0001010011000001	00111 [x]
0001100011100101	00100 [x]
0001110011100101	00110 [x]
0011110000000101	01010 [x]
0000000011101000	01111 [x]

0000000101010010	01000 [x]
0000011101000010	11100 [x]
0000110000011110	11101 [x]
0000110000001111	00000 [x]
0001100000011110	11111 [x]
0001100000001110	01101 [x]
0001000010100000	00101 [x]
0001001010100000	10101 [x]
0011000101000101	01111 [x]
0011010001100110	01010 [x]	
